what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244539897064
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.1,org.tigris.subversion.clientadapter.javahl,1244539897173
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.1,org.tigris.subversion.clientadapter.svnkit,1244539897173
started,bundle,org.eclipse.jdt.apt.core,3.3.101.R34x_v20090114-1205,org.eclipse.jdt.apt.core,1244539897455
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.101.R34x_v20081108-1950,org.eclipse.jdt.apt.pluggable.core,1244539897455
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1244539897736
started,bundle,org.tigris.subversion.subclipse.ui,1.6.2,org.tigris.subversion.subclipse.ui,1244539897783
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244539901126
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244539939016
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1244539939047
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1244539939047
started,bundle,org.eclipse.ltk.core.refactoring,3.4.2.r342_v20081028-0800,org.eclipse.ltk.core.refactoring,1244539947531
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1244539949437
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1244539949968
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1244539950187
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244539950234
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1244539950703
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244539950734
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1244539955359
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1244539959437
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244539968515
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244539977797
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244539989002
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244540000847
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1244540000894
